serie,roll,tid,kategori,innehall,varde
ki_finansieringslage,enkat,2015-01,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,12
ki_finansieringslage,enkat,2015-04,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,8
ki_finansieringslage,enkat,2015-07,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,9
ki_finansieringslage,enkat,2015-10,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,10
ki_finansieringslage,enkat,2016-01,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,10
ki_finansieringslage,enkat,2016-04,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,13
ki_finansieringslage,enkat,2016-07,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,17
ki_finansieringslage,enkat,2016-10,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,7
ki_finansieringslage,enkat,2017-01,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,6
ki_finansieringslage,enkat,2017-04,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,12
ki_finansieringslage,enkat,2017-07,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,12
ki_finansieringslage,enkat,2017-10,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,13
ki_finansieringslage,enkat,2018-01,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,19
ki_finansieringslage,enkat,2018-04,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,14
ki_finansieringslage,enkat,2018-07,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,11
ki_finansieringslage,enkat,2018-10,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,13
ki_finansieringslage,enkat,2019-01,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,14
ki_finansieringslage,enkat,2019-04,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,14
ki_finansieringslage,enkat,2019-07,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,12
ki_finansieringslage,enkat,2019-10,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,13
ki_finansieringslage,enkat,2020-01,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,17
ki_finansieringslage,enkat,2020-04,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,26
ki_finansieringslage,enkat,2020-07,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,25
ki_finansieringslage,enkat,2020-10,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,22
ki_finansieringslage,enkat,2021-01,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,19
ki_finansieringslage,enkat,2021-04,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,18
ki_finansieringslage,enkat,2021-07,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,15
ki_finansieringslage,enkat,2021-10,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,12
ki_finansieringslage,enkat,2022-01,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,14
ki_finansieringslage,enkat,2022-04,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,19
ki_finansieringslage,enkat,2022-07,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,29
ki_finansieringslage,enkat,2022-10,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,25
ki_finansieringslage,enkat,2023-01,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,31
ki_finansieringslage,enkat,2023-04,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,32
ki_finansieringslage,enkat,2023-07,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,28
ki_finansieringslage,enkat,2023-10,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,34
ki_finansieringslage,enkat,2024-01,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,30
ki_finansieringslage,enkat,2024-04,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,25
ki_finansieringslage,enkat,2024-07,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,21
ki_finansieringslage,enkat,2024-10,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,25
ki_finansieringslage,enkat,2025-01,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,28
ki_finansieringslage,enkat,2025-04,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,23
ki_finansieringslage,enkat,2025-07,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,22
ki_finansieringslage,enkat,2025-10,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,16
ki_finansieringslage,enkat,2026-01,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,17
ki_finansieringslage,enkat,2026-04,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,21
ki_finansieringslage,enkat,2026-07,Bygg | Svårare än normalt,Byggföretag: finansiering svårare än normalt,16
